15634602,Hargrave,619,France,Female,42,2,0,1,101348.88,2,DIAMOND,464
15647311,Hill,608,Spain,Female,41,1,83807.86,0,112542.58,3,DIAMOND,456
15619304,Onio,502,France,Female,42,8,159660.8,1,113931.57,3,DIAMOND,377
15701354,Boni,699,France,Female,39,1,0,0,93826.63,5,GOLD,350
15737888,Mitchell,850,Spain,Female,43,2,125510.82,1,79084.1,5,GOLD,425
15574012,Chu,645,Spain,Male,44,8,113755.78,1,149756.71,5,DIAMOND,484
15592531,Bartlett,822,France,Male,50,7,0,1,10062.8,2,SILVER,206
15656148,Obinna,376,Germany,Female,29,4,115046.74,1,119346.88,2,DIAMOND,282
15792365,He,501,France,Male,44,4,142051.07,0,74940.5,3,GOLD,251
15592389,H?,684,France,Male,27,2,134603.88,1,71725.73,3,GOLD,342
15767821,Bearce,528,France,Male,31,6,102016.72,0,80181.12,3,GOLD,264
15737173,Andrews,497,Spain,Male,24,3,0,1,76390.01,3,GOLD,249
15632264,Kay,476,France,Female,34,10,0,1,26260.98,3,SILVER,119
15691483,Chin,549,France,Female,25,5,0,0,190857.79,3,PLATINUM,549
15600882,Scott,635,Spain,Female,35,7,0,1,65951.65,2,GOLD,318
15643966,Goforth,616,Germany,Male,45,3,143129.41,0,64327.26,5,GOLD,308
15737452,Romeo,653,Germany,Male,58,1,132602.88,1,5097.67,2,SILVER,163
15788218,Henderson,549,Spain,Female,24,9,0,1,14406.41,3,SILVER,544
15661507,Muldrow,587,Spain,Male,45,6,0,0,158684.81,3,PLATINUM,732
15568982,Hao,726,France,Female,24,6,0,1,54724.03,4,GOLD,477
15577657,McDonald,732,France,Male,41,8,0,1,170886.17,3,PLATINUM,568
15597945,Dellucci,636,Spain,Female,32,8,0,1,138555.46,2,DIAMOND,336
15699309,Gerasimov,510,Spain,Female,38,4,0,1,118913.53,2,DIAMOND,887
15725737,Mosman,669,France,Male,46,3,0,0,8487.75,2,SILVER,665
15625047,Yen,846,France,Female,38,5,0,1,187616.16,3,PLATINUM,225
15738191,Maclean,577,France,Male,25,3,0,0,124508.29,3,PLATINUM,659
15736816,Young,756,Germany,Male,36,2,136815.64,1,170041.95,5,DIAMOND,236
15700772,Nebechi,571,France,Male,44,9,0,0,38433.35,4,PLATINUM,448
15728693,McWilliams,574,Germany,Female,43,3,141349.43,1,100187.43,5,DIAMOND,499
15656300,Lucciano,411,France,Male,29,0,59697.17,1,53483.21,2,GOLD,343
15589475,Azikiwe,591,Spain,Female,39,3,0,1,140469.38,3,DIAMOND,298
15706552,Odinakachukwu,533,France,Male,36,7,85311.7,0,156731.91,5,SILVER,628
15750181,Sanderson,553,Germany,Male,41,9,110112.54,0,81898.81,3,GOLD,611
15659428,Maggard,520,Spain,Female,42,6,0,1,34410.55,2,SILVER,922
15732963,Clements,722,Spain,Female,29,9,0,1,142033.07,5,PLATINUM,276
15794171,Lombardo,475,France,Female,45,0,134264.04,1,27822.99,1,DIAMOND,877
15788448,Watson,490,Spain,Male,31,3,145260.23,0,114066.77,4,SILVER,471
15729599,Lorenzo,804,Spain,Male,33,7,76548.6,0,98453.45,2,GOLD,994
15717426,Armstrong,850,France,Male,36,7,0,1,40812.9,3,GOLD,944
15585768,Cameron,582,Germany,Male,41,6,70349.48,0,178074.04,5,GOLD,419
